SKU ID,TranslatedTitle,brand,Is UL,ProductURL,Seller-Name,packtype,Units,Volume (ml),quantity,API Flag,CBP,CBP_Brand,Pack Size,User,Format,Benefit,API Tier,Grammage Tier,Offer Price,Rating,Number of Reviews,Hygiene benefit,Refill,Value,Discount %,Purchase Date
677458,Lux Body Wash Refill 450ml Aqua Sparkle,lux,1,https://www.jd.id/product/lux-body-wash-aqua-sparkle-refill-450ml_677458/10012637.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,10,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,5,2336,,Refill,240,14%,19/6/2018
677481,Lifebuoy Body Wash Refill 450ml Vita Protect,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-vita-protect-refill-450ml_677481/10012660.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,9,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,24,5,3120,Care,Refill,216,13%,3/5/2018
677486,Lifebuoy Total 10 Refill Body Wash 450ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-total-10-refill-450ml_677486/10012665.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,2,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,24,5,2244,Basic,Refill,48,6%,17/4/2018
677489,Lifebuoy Total 10 500ml Body Wash,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-total-10-500ml_677489/10012668.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,500,7,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,36,5,2788,Basic,,252,11%,22/2/2018
677491,Lifebuoy Total 10 300ml Body Wash,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-total-10-300ml_677491/10012670.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,5,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,250 - 300 ML,23.5,5,131,Basic,,117.5,8%,10/7/2019
677495,Lifebuoy Nature Pure Body Wash 300ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-nature-pure-300ml_677495/10012674.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,2,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,250 - 300 ML,18,5,107,Fresh,,36,15%,18/8/2019
677497,Lifebuoy Body Wash Refill Fresh Lemon 450ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-lemon-fresh-refill-450ml_677497/10012676.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,1,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,24,5,2850,Fresh,Refill,24,12%,16/10/2018
677498,Lifebuoy Fresh Lemon Body Wash 300ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-lemon-fresh-300ml_677498/10012677.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,5,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,250 - 300 ML,23.5,5,240,Fresh,,117.5,14%,19/9/2019
677501,Lifebuoy Body Wash 300ml Mild Care,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-mild-care-300ml_677501/10012680.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,3,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,250 - 300 ML,23.5,5,96,Care,,70.5,9%,1/6/2019
677502,Lifebuoy Body Wash 500ml Mild Care,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-mild-care-500ml_677502/10012681.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,500,9,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,36,5,1830,Care,,324,15%,2/5/2018
677503,Lifebuoy Body Wash Refill 450ml Mild Care,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-mild-care-refill-450ml_677503/10012682.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,1,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,24,5,3363,Care,Refill,24,5%,18/3/2018
677588,Dove Deeply Nourishing Body Wash 400ml,dove,1,https://www.jd.id/product/dove-body-wash-deeply-nourishing-400ml_677588/10012767.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,8,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,37,5,264,,,296,12%,17/6/2018
677590,Dove Deeply Nourishing Body Wash 550ml,dove,1,https://www.jd.id/product/dove-body-wash-deeply-nourishing-550ml_677590/10012769.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,550,6,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,53,5,2171,,,318,5%,22/5/2018
677591,Dove Deeply Nourishing Body Wash Refill 400ml,dove,1,https://www.jd.id/product/dove-body-wash-deeply-nourishing-refill-400ml_677591/10012770.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,10,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,5,3246,,Refill,240,5%,20/12/2018
677592,Dove Body Wash Fresh Touch 400ml,dove,1,https://www.jd.id/product/dove-body-wash-fresh-touch-400ml_677592/10012771.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,6,1,Fresh,Fresh|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,36.5,4.8,45,,,219,8%,12/6/2019
677594,Dove Body Wash Fresh Touch 400ml Refill,dove,1,https://www.jd.id/product/dove-body-wash-fresh-touch-refill-400ml_677594/10012773.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,4,1,Fresh,Fresh|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,29,5,1022,,Refill,116,7%,21/5/2019
677595,Dove Body Wash 400ml Revive,dove,1,https://www.jd.id/product/dove-body-wash-revive-400ml_677595/10012774.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,1,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,37,5,282,,,37,14%,14/10/2018
677596,Dove Body Wash 550ml Revive,dove,1,https://www.jd.id/product/dove-body-wash-revive-550ml_677596/10012775.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,550,3,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,37.5,5,1529,,,112.5,11%,7/3/2018
677597,Dove Body Wash Refill 400ml Revive,dove,1,https://www.jd.id/product/dove-body-wash-revive-refill-400ml_677597/10012776.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,400,8,1,Care & Moisturize,Care & Moisturize|dove,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,29,5,1604,,Refill,232,6%,14/12/2018
677601,Lifebuoy Cool Fresh Body Wash 300ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-cool-fresh-300ml_677601/10012780.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,10,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,250 - 300 ML,24,5,150,Fresh,,240,7%,17/12/2018
677602,Lifebuoy Cool Fresh Body Wash Refill 450ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-cool-fresh-refill-450ml_677602/10012781.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,6,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,300 - 500 ML,24,5,3307,Fresh,Refill,144,10%,24/12/2019
679130,Cottage Caramel Gourmet Shower Gel 750ml,cottage,0,https://www.jd.id/product/cottage-caramel-gourmet-shower-gel-750ml_679130/10014321.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,750,7,1,Care & Moisturize,Care & Moisturize|cottage,Single,NA,Shower Gel,NA,Tire 1,More then 1000 ML,60,5,105,,,420,5%,14/5/2018
679150,Redwin Sorbolene bodywash With Vitamin E 500ml,redwin,0,https://www.jd.id/product/redwin-sorbolene-bodywash-with-vitamin-e-500ml_679150/10014342.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,500,2,1,Whitening / Colour Management,Whitening / Colour Management|redwin,Single,NA,Shower Gel,NA,Tire 4,500 - 1000 ML,96,4.9,42,,,192,14%,5/3/2019
683575,Lifebuoy Complete Body Wash Gel 100ml,lifebuoy,1,https://www.jd.id/product/lifebuoy-body-wash-complete-gel-100ml_683575/10019216.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,100,4,1,Hygiene / Protection,Hygiene / Protection|lifebuoy,Single,NA,Shower Gel,Muslim,Tire 1,50 - 150 ML,19,5,525,Care,,76,11%,23/9/2019
684242,Dettol Skincare Body Wash 450ml Pouch,dettol,0,https://www.jd.id/product/dettol-body-wash-skincare-pouch-450ml_684242/10020079.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,2,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,26,5,363,Care,Refill,52,12%,4/8/2018
684247,Dettol Fresh Pouch bodywash 410Ml,dettol,0,https://www.jd.id/product/dettol-bodywash-fresh-pouch-410ml_684247/10020084.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,410,10,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,26,5,323,Fresh,Refill,260,5%,8/3/2019
684250,Bodywash Dettol Cool Pouch 410Ml,dettol,0,https://www.jd.id/product/dettol-bodywash-cool-pouch-410ml_684250/10020087.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,410,7,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,27.5,5,935,Fresh,Refill,192.5,11%,16/3/2018
684254,Dettol Original Pouch bodywash 410Ml,dettol,0,https://www.jd.id/product/dettol-bodywash-original-pouch-410ml_684254/10020091.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,410,9,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,26,5,661,Basic,Refill,234,8%,14/9/2018
684261,Dettol Sensitive Body Wash 300ml Bottle,dettol,0,https://www.jd.id/product/dettol-body-wash-sensitive-bottle-300ml_684261/10020098.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,6,1,Therapeutic & Sensitive,Therapeutic & Sensitive|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,23,5,55,,,138,12%,21/1/2018
684269,Dettol Sensitive Body Wash 250ml Pouch,dettol,0,https://www.jd.id/product/dettol-body-wash-sensitive-pouch-250ml_684269/10020106.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,4,1,Therapeutic & Sensitive,Therapeutic & Sensitive|dettol,Single,NA,Shower Gel,NA,Tire 2,200 - 250 ML,16,5,185,,Refill,64,13%,16/8/2019
684272,Dettol Fresh Body Wash 300ml Bottle,dettol,0,https://www.jd.id/product/dettol-body-wash-fresh-bottle-300ml_684272/10020109.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,10,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,22.5,5,109,Fresh,,225,12%,7/8/2019
684273,Dettol Skincare Body Wash 250ml Pouch,dettol,0,https://www.jd.id/product/dettol-body-wash-skincare-pouch-250ml_684273/10020110.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,8,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,200 - 250 ML,15.5,5,175,Care,Refill,124,9%,14/3/2019
684275,Dettol Cool Body Wash 300ml Bottle,dettol,0,https://www.jd.id/product/dettol-body-wash-cool-bottle-300ml_684275/10020112.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,2,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,23,5,157,Fresh,,46,10%,24/3/2019
684279,Dettol Original Bottle 300ml Body Wash,dettol,0,https://www.jd.id/product/dettol-body-wash-original-bottle-300ml_684279/10020116.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,1,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,22.5,5,142,Basic,,22.5,14%,6/9/2019
684282,Dettol Body Wash 300ml Bottle reenergize,dettol,0,https://www.jd.id/product/dettol-body-wash-reenergize-bottle-300ml_684282/10020119.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,4,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,23,5,112,Fresh,,92,11%,4/4/2019
684284,Dettol Cool Pouch Body Wash 250ml,dettol,0,https://www.jd.id/product/dettol-body-wash-cool-pouch-250ml_684284/10020121.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,3,1,Hygiene / Protection,,Single,NA,Shower Gel,NA,Tire 5,200 - 250 ML,15,5,209,Fresh,Refill,45,6%,9/9/2018
684290,Dettol Fresh Pouch Lasting Body Wash 250ml,dettol,0,https://www.jd.id/product/dettol-body-wash-lasting-fresh-pouch-250ml_684290/10020127.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,6,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,200 - 250 ML,16,4.9,255,Fresh,Refill,96,8%,3/2/2019
684291,Lasting Dettol Fresh Body Wash 300ml Bottle,dettol,0,https://www.jd.id/product/dettol-body-wash-lasting-fresh-bottle-300ml_684291/10020128.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,300,5,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,250 - 300 ML,23,5,104,Fresh,,115,11%,16/10/2018
684295,Dettol Sensitive Body Wash Bottle 625Ml,dettol,0,https://www.jd.id/product/dettol-body-wash-sensitive-bottle-625ml_684295/10020132.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,625,2,1,Therapeutic & Sensitive,Therapeutic & Sensitive|dettol,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,47.5,5,538,,,95,12%,14/9/2018
684296,Dettol Body Wash 410Ml reenergize Pouch,dettol,0,https://www.jd.id/product/dettol-body-wash-reenergize-pouch-410ml_684296/10020133.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,410,9,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,26,5,463,Fresh,Refill,234,8%,11/1/2018
684298,Dettol Fresh Body Wash Bottle 625Ml,dettol,0,https://www.jd.id/product/dettol-body-wash-fresh-bottle-625ml_684298/10020135.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,625,5,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,48,5,514,Fresh,,240,7%,19/2/2019
684299,Pouch bodywash 450ml Dettol Sensitive,dettol,0,https://www.jd.id/product/dettol-bodywash-sensitive-pouch-450ml_684299/10020136.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,10,1,Therapeutic & Sensitive,Therapeutic & Sensitive|dettol,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,26,5,402,,Refill,260,14%,3/9/2019
684301,Dettol Cool Body Wash Bottle 625Ml,dettol,0,https://www.jd.id/product/dettol-body-wash-cool-bottle-625ml_684301/10020138.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,625,9,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,45.5,5,3220,Fresh,,409.5,9%,16/10/2019
684303,Dettol Original Bottle Body Wash 625Ml,dettol,0,https://www.jd.id/product/dettol-body-wash-original-bottle-625ml_684303/10020140.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,625,4,1,Hygiene / Protection,Hygiene / Protection|dettol,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,46.5,5,480,Basic,,186,11%,3/8/2018
684889,Pomelo Leivy Shower Cream 900Ml (Refill),leivy,0,https://www.jd.id/product/leivy-pomelo-shower-cream-900ml-refill_684889/10020741.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,900,10,1,Care & Moisturize,Care & Moisturize|leivy,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,55,5,77,,Refill,550,12%,10/4/2019
684890,Goat Leivy 1150Ml'S Milk Shower Cream (Pump),leivy,0,https://www.jd.id/product/leivy-goat-s-milk-shower-cream-1150ml-pump_684890/10020742.html,NA,Single,Milliliter,1150,8,1,Care & Moisturize,Care & Moisturize|leivy,Single,NA,Shower Gel,NA,Tire 2,More then 1000 ML,71,4.9,183,,,568,15%,13/6/2018
684892,Papaya Enzymes Leivy 1150Ml Shower Cream (Pump),leivy,0,https://www.jd.id/product/leivy-papaya-enzymes-shower-cream-1150ml-pump_684892/10020744.html,NA,Single,Milliliter,1150,4,1,Whitening / Colour Management,Whitening / Colour Management|leivy,Single,NA,Shower Gel,NA,Tire 2,More then 1000 ML,71,5,7,,,284,8%,14/10/2018
684904,Leivy 1150Ml Royal Jelly Shower Cream (Pump),leivy,0,https://www.jd.id/product/leivy-royal-jelly-shower-cream-1150ml-pump_684904/10020756.html,NA,Single,Milliliter,1150,10,1,Care & Moisturize,Care & Moisturize|leivy,Single,NA,Shower Gel,NA,Tire 2,More then 1000 ML,71,4.6,10,,,710,11%,14/1/2018
685226,Imperial Leather Softly Softly Body Wash Bottle 400 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-softly-softly-bottle-400-ml_685226/10021089.html,NA,Single,Milliliter,400,4,1,Fragrance,Fragrance|imperialleather,Single,NA,Shower Gel,NA,Tire 3,300 - 500 ML,29,5,0,,,116,15%,18/6/2018
685228,Imperial Leather Wht Princess Body Wash Bottle 400 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-wht-princess-bottle-400-ml_685228/10021091.html,NA,Single,Milliliter,400,2,1,Whitening / Colour Management,Whitening / Colour Management|imperialleather,Single,NA,Shower Gel,NA,Tire 3,300 - 500 ML,29,5,0,,,58,10%,6/2/2018
685234,Imperial Leather Softly Softly Body Wash Bottle 720 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-softly-softly-bottle-720-ml_685234/10021097.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,720,6,1,Fragrance,Fragrance|imperialleather,Single,NA,Shower Gel,NA,Tire 3,500 - 1000 ML,55,5,318,,,330,10%,15/10/2018
685361,Imperial Leather Body Wash Classic Bottle 400 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-classic-bottle-400-ml_685361/10021224.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,400,6,1,Fragrance,Fragrance|imperialleather,Single,NA,Shower Gel,NA,Tire 3,300 - 500 ML,34,5,43,,,204,15%,20/12/2019
685430,Imperial Leather Body Wash Classic Bottle 200 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-classic-bottle-200-ml_685430/10021293.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,200,7,1,Fragrance,Fragrance|imperialleather,Single,NA,Shower Gel,NA,Tire 3,150 - 200 ML,19,5,21,,,133,6%,1/10/2019
685432,Imperial Leather Softly Body Wash Bottle 200 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-softly-bottle-200-ml_685432/10021295.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,200,3,1,Fragrance,Fragrance|imperialleather,Single,NA,Shower Gel,NA,Tire 3,150 - 200 ML,15,5,20,,,45,7%,3/7/2018
685434,Imperial Leather Wht Princess Body Wash Bottle 200 Ml,imperialleather,0,https://www.jd.id/product/imperial-leather-body-wash-wht-princess-bottle-200-ml_685434/10021297.html,NA,Single,Milliliter,200,4,1,Whitening / Colour Management,Whitening / Colour Management|imperialleather,Single,NA,Shower Gel,NA,Tire 3,150 - 200 ML,17,4.8,5,,,68,6%,25/1/2019
698002,Biore Body Foam Dancing Beach Bottle 220 Ml,biore,0,https://www.jd.id/product/biore-body-foam-dancing-beach-bottle-220-ml_698002/10035621.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,20,6,1,Fragrance,Fragrance|biore,Single,NA,Shower Gel,NA,Tire 2,0 - 50 ML,21,4.9,60,,,126,5%,9/12/2018
698005,Biore Body Foam 425 Ml Dancing Beach Pouch,biore,0,https://www.jd.id/product/biore-body-foam-dancing-beach-pouch-425-ml_698005/10035624.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,425,4,1,Fragrance,Fragrance|biore,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,5,541,,Refill,96,6%,15/7/2019
698009,Dancing Beach Biore Body Foam Pump 550 Ml,biore,0,https://www.jd.id/product/biore-body-foam-dancing-beach-pump-550-ml_698009/10035628.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,550,4,1,Fragrance,Fragrance|biore,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,50,5,305,,,200,7%,3/4/2019
698075,Men'S Biore Body Foam White Energy Bottle 250ml,biore,0,https://www.jd.id/product/men-s-biore-body-foam-white-energy-bottle-250-ml_698075/10035695.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,250,9,1,Whitening / Colour Management,Whitening / Colour Management|biore,Single,Male,Shower Gel,NA,Tire 1,200 - 250 ML,15,5,156,,,135,6%,3/5/2019
698081,Men'S Biore Body Foam White Energy Pouch 450 Ml,biore,0,https://www.jd.id/product/men-s-biore-body-foam-white-energy-pouch-450-ml_698081/10035701.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,450,6,1,Whitening / Colour Management,Whitening / Colour Management|biore,Single,Male,Shower Gel,NA,Tire 1,300 - 500 ML,20,5,474,,Refill,120,13%,1/4/2019
698096,Men'S Biore Body Foam Cool Energy Bottle 250 Ml,biore,0,https://www.jd.id/product/men-s-biore-body-foam-cool-energy-bottle-250-ml_698096/10035716.html?utm_source=shopalyst&utm_medium=affiliate,NA,Single,Milliliter,250,8,1,Fresh,Fresh|biore,Single,Male,Shower Gel,NA,Tire 2,200 - 250 ML,15,5,156,,,120,7%,11/7/2018
